ID_1,SR_ssp370,PD_ssp370,Pdses_ssp370,PE_ssp370,Res_PD_ssp370,EDGE_ssp370
18700,21,2058.108918,-0.309175046,0.273552031,283.677197,1.823895488
18701,43,3580.434491,1.890239338,1.142621748,172.5635591,1.787352931
18702,39,2867.446439,-0.823707618,0.557575477,-243.4355455,1.793505797
18703,27,2217.580022,-1.298759975,0.323038066,-2.335120175,1.709440314
18704,1,3.433891,-0.811140236,0.019458138,-286.0530928,1.453576403
18706,8,1228.015649,0.217568499,0.113936719,418.7980072,1.942842723
18709,36,2566.68586,-1.580352059,0.556041132,-321.4544139,1.770704106
18710,11,422.397293,-9.659667557,0.054695689,-609.5620594,1.574956994
18711,27,2484.39229,0.284094688,0.4201123,264.4771478,1.814722506
18712,7,1086.423727,-0.233217803,0.147663491,351.453322,1.707181837
18713,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
18714,8,1181.101934,-0.343243712,0.110023804,371.8842922,1.948964428
18715,5,330.893408,-3.671746481,0.038407044,-255.5825232,1.730044056
18716,31,2364.207776,-1.495536993,0.395856601,-152.6963136,1.675168137
18717,14,495.058071,-9.861102875,0.067382908,-759.642992,1.599576892
18718,29,1978.626141,-3.464731874,0.319288472,-389.7834749,1.662415132
18719,4,844.743509,0.367792368,0.074042028,332.5148146,1.852073307
18720,6,929.885217,-1.208399931,0.124583053,269.1620489,1.832359942
18721,3,773.834292,0.687603311,0.082229001,335.8528345,1.792068374
18722,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
18723,27,2292.746158,-0.880967786,0.430757831,72.83101583,1.780689279
18724,7,354.143127,-7.007870394,0.040751171,-380.827278,1.548740508
18725,21,2015.747128,-0.56013342,0.271144574,241.315407,1.794158577
18726,3,776.922813,0.673098227,0.060115345,338.9413555,1.704131321
18727,5,850.736815,-0.94199621,0.078115354,264.2608838,1.8943885
18728,1,1.944663,-0.710483421,0.021714945,-287.5423208,2.149981543
18729,9,1396.37672,0.984769828,0.188830391,512.9118413,1.866653917
18730,5,285.201114,-7.10630496,0.034244577,-301.2748172,1.442332673
18732,12,423.31854,-9.71548725,0.055779509,-682.8880493,1.562987221
18733,1,1.424012,-0.671597605,0.018571231,-288.0629718,1.446167853
18736,3,776.922814,0.66935054,0.053883293,338.9413565,1.768033223
18737,6,1018.603031,0.023972351,0.148028837,357.8798629,1.86267438
18738,2,253.645516,-0.711880854,0.026223127,-110.0887047,1.452304082
18739,1,1.944663,-0.710483421,0.021714945,-287.5423208,2.149981543
18740,5,968.477745,0.484154734,0.181861494,382.0018138,1.952221423
18741,2,253.645516,-0.962660445,0.027110034,-110.0887047,1.456008356
18742,9,419.786638,-9.823247376,0.055044639,-463.6782407,1.45123323
18743,3,321.466212,-1.599442294,0.034857936,-116.5152455,1.45569461
18744,21,1694.17706,-2.672148397,0.242825747,-80.25466101,1.684877195
18745,7,1206.777507,0.982953797,0.154721352,471.807102,1.857061443
18746,47,3729.451279,2.127277331,1.982123835,24.59139961,1.798858705
18747,4,360.263791,-2.599607774,0.035496291,-151.9649034,1.806731362
18748,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
18749,3,321.466212,-1.56422906,0.031356528,-116.5152455,1.92674625
18750,19,1523.23204,-3.481644612,0.215889809,-102.7052073,1.670281808
18751,3,288.661938,-1.707037952,0.03319251,-149.3195195,1.916652393
18753,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
18754,22,1845.133273,-2.045000053,0.229029846,-3.54568487,1.728684649
18755,9,1124.87404,-1.316953952,0.155155452,241.4091613,1.72762695
18756,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
18757,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
18758,15,1786.708462,0.488936645,0.248840323,457.7601622,1.865330121
18759,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
18760,31,2601.158502,-0.249471644,0.416441735,84.25441238,1.798115066
18761,7,1086.423727,-0.261723579,0.152453336,351.453322,1.903947681
18762,5,330.701765,-4.832711311,0.044389118,-255.7741662,1.733064209
18763,4,296.96801,-3.274611089,0.032179437,-215.2606844,1.441788086
18764,1,3.119954,-0.723173761,0.017093307,-286.3670298,1.481927676
18766,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
18767,4,723.914057,-0.498278975,0.099394243,211.6853626,1.81335439
18768,25,1767.410325,-3.503887384,0.212096278,-304.0103435,1.632851189
18769,27,2506.587937,0.414301342,0.415938848,286.6727948,1.815339568
18770,4,815.720393,-0.013057073,0.067714212,303.4916986,1.654379457
18771,7,1059.250246,-0.697177174,0.09744609,324.279841,2.017276566
18772,2,253.645516,-0.886367513,0.030840549,-110.0887047,1.79833412
18774,1,1.944663,-0.710483421,0.021714945,-287.5423208,2.149981543
18776,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
18777,5,968.477746,0.452532344,0.101845873,382.0018148,2.071745984
18778,5,968.477746,0.453093417,0.097056029,382.0018148,1.796273803
18779,11,460.366435,-9.929671073,0.05978219,-571.5929174,1.5133728
18780,6,1018.603031,0.023972351,0.148028837,357.8798629,1.86267438
18781,15,533.855649,-9.750179588,0.074447086,-795.0926508,1.544555304
18782,31,2407.829487,-1.310586846,0.408855512,-109.0746026,1.743327138
18783,31,2573.494522,-0.3949662,0.446251657,56.59043238,1.742408941
18784,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
18785,3,321.466212,-1.942192382,0.032665322,-116.5152455,1.457229234
18786,40,3329.720728,1.439476005,0.924209633,144.5915066,1.803582688
18787,26,2481.609267,0.637732767,0.396536717,335.9413617,1.803006045
18788,1,5.03648,-0.712550744,0.01637279,-284.4505038,2.151587491
18789,2,135.641392,-1.510462594,0.02185252,-228.0928287,1.470183993
18790,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
18791,33,2546.104608,-0.942582498,0.411706789,-119.2939553,1.751234042
18793,7,440.409682,-8.128249824,0.048675216,-294.560723,1.750857251
18794,21,2133.161081,0.337588885,0.381970088,358.72936,1.838941574
18795,28,2493.220588,-0.012787613,0.426533264,199.058209,1.775592586
18796,37,2902.865289,-0.074872621,0.595911147,-59.52222178,1.809400431
18797,3,295.341094,-1.699057468,0.031838906,-142.6403635,1.676155389
18798,2,650.100056,0.996774891,0.04436767,286.3658353,1.928965909
18799,7,985.581396,-1.112465932,0.10017494,250.610991,1.813043988
18800,7,872.829119,-2.163189022,0.203809156,137.858714,1.689162718
18801,18,1421.721274,-3.815548163,0.198784449,-129.9687364,1.642279534
18803,4,332.544838,-3.676605099,0.035328403,-179.6838564,1.457890126
18804,27,2583.996841,0.878162619,0.414290762,364.0816988,1.798347912
18805,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
18806,4,332.544838,-3.641044442,0.036253663,-179.6838564,1.456381035
