ID_1,SR_ssp585,PD_ssp585,Pdses_ssp585,Res_pd_ssp585,PE_ssp585,EDGE_ssp585
10501,3,321.466212,-1.56422906,-142.6961447,0.032699914,1.92674625
10502,3,321.466212,-1.56422906,-142.6961447,0.032699914,1.92674625
10503,1,5.03648,-0.742599278,-311.042699,0.016728599,1.45844031
10504,37,2732.140257,-1.161915747,-249.4361207,0.453656268,1.764843378
10505,3,776.922814,0.674907115,312.7604573,0.062799811,1.731439499
10507,34,2775.454425,-0.086855473,16.00281386,0.493105328,1.773315622
10508,6,352.316141,-6.763528925,-333.9709823,0.039979458,1.449033323
10509,30,2506.15776,-0.473286134,42.87250427,0.398400355,1.832616141
10510,5,883.541089,-0.339046118,271.2955546,0.071122855,1.758518537
10511,3,292.443095,-2.039422872,-171.7192617,0.032438685,1.683950197
10512,6,1012.055873,-0.169724814,325.7687497,0.104942398,2.099413044
10513,1,5.03648,-0.742599278,-311.042699,0.016728599,1.45844031
10514,4,295.876986,-3.974030615,-242.3269596,0.034078254,1.453069953
10515,10,1422.770494,0.485444041,440.3170153,0.152159571,1.881366784
10516,2,253.645516,-0.957736343,-136.4752519,0.026386538,1.810621355
10517,7,1047.072295,-0.802025971,286.7435829,0.111503895,2.007150667
10518,7,1047.072295,-0.860837063,286.7435829,0.111096345,2.007150667
10519,16,1942.538846,1.063849827,515.8358342,0.352597294,1.842755343
10520,4,360.263791,-2.599607774,-177.9401546,0.03702666,1.806731362
10521,5,855.822136,-0.729669075,243.5766016,0.06493747,1.481371859
10522,1,3.119954,-0.817369383,-312.959225,0.016568475,2.175074856
10523,8,1300.931724,1.101207846,466.561423,0.135701178,1.89462885
10524,26,2360.390885,-0.072790039,193.2719847,0.334474035,1.76718476
10525,6,1058.033232,0.412186891,371.7461087,0.17508916,1.999872411
10526,1,109.58844,1.913635585,-206.490739,0.027119957,1.706344326
10527,3,776.922814,0.681973616,312.7604573,0.060175668,1.72914293
10528,3,349.787561,-1.656350722,-114.3747957,0.055241252,2.058553927
10529,49,3907.258075,2.302505514,37.18263109,2.06362786,1.818659342
10530,3,776.922814,0.66935054,312.7604573,0.053322369,1.768033223
10531,50,3803.196169,1.743227779,-140.9208638,1.507224796,1.766697655
10532,5,883.541089,-0.339046118,271.2955546,0.071122855,1.758518537
10533,6,1010.173324,-0.001628407,323.8862007,0.10964846,1.872816649
10534,1,5.03648,-0.742599278,-311.042699,0.016728599,1.45844031
10535,7,1177.197488,0.712954238,416.8687759,0.107497358,1.931652538
10536,2,650.100056,0.996774891,259.9792881,0.043504306,1.928965909
10537,2,650.100056,0.996774891,259.9792881,0.043504306,1.928965909
10538,31,2401.759941,-1.371741551,-135.5669036,0.368986051,1.707219859
10540,4,841.654988,0.372347186,303.4510424,0.083272339,1.881948153
10541,3,292.443095,-1.872598324,-171.7192617,0.032929877,1.691606371
10542,1,5.03648,-0.742599278,-311.042699,0.016728599,1.45844031
10543,5,871.070556,-0.409842823,258.8250216,0.078220821,2.033669528
10544,3,688.897634,0.284706301,224.7352773,0.291782126,1.96198551
10545,7,1059.250246,-0.697177174,298.9215339,0.096882469,2.017276566
10546,29,2521.843987,-0.103474751,132.6003201,0.45946088,1.768878914
10547,7,1042.291747,-0.752824063,281.9630349,0.107008701,1.796121285
10548,43,3358.248426,0.876633579,-67.5774848,0.966213527,1.795855447
10549,8,1135.330884,-0.740223664,300.960583,0.101192029,1.941424929
10550,7,327.683897,-10.58935605,-432.6448151,0.040392274,1.445035756
10551,30,2636.391614,0.295288445,173.1063583,0.428228097,1.785668322
10552,5,968.477746,0.453093417,356.2322116,0.094999929,1.796273803
10553,8,1301.810154,1.04778177,467.439853,0.130697317,1.896046643
10554,1,3.119954,-0.817369383,-312.959225,0.016568475,2.175074856
10555,51,4028.372728,2.580877988,10.21410638,2.266162216,1.824541063
10556,4,844.74351,0.249034788,306.5395644,0.067203659,1.836476497
10557,1,109.58844,1.913635585,-206.490739,0.027119957,1.706344326
10558,47,3608.657855,1.399897538,-113.3344112,1.561457888,1.776979059
10559,1,3.433891,-0.811140236,-312.645288,0.020826427,1.453576403
10560,23,2179.51661,-0.135445079,234.5224762,0.382075754,1.839671509
10561,2,253.645516,-0.71995115,-136.4752519,0.028111939,1.802581947
10562,1,5.03648,-0.742599278,-311.042699,0.016728599,1.45844031
10563,2,253.645516,-0.703125544,-136.4752519,0.028296065,1.814325629
10564,1,109.58844,1.913635585,-206.490739,0.027119957,1.706344326
10565,32,2601.589044,-0.469762021,-9.779389434,0.463173697,1.856234592
10566,1,5.03648,-0.712550744,-311.042699,0.016384349,2.151587491
10568,3,776.922813,0.673098227,312.7604563,0.059728482,1.704131321
10569,1,3.119954,-0.817369383,-312.959225,0.016568475,2.175074856
10570,1,109.58844,1.913635585,-206.490739,0.027119957,1.706344326
10571,46,3600.089953,1.521300264,-47.86072436,1.375673165,1.798915938
10572,2,253.645516,-0.957736343,-136.4752519,0.026386538,1.810621355
10573,2,650.100056,0.996774891,259.9792881,0.043504306,1.928965909
10574,6,929.885217,-1.208399931,243.5980937,0.134806704,1.832359942
10575,3,776.922813,0.673098227,312.7604563,0.059728482,1.704131321
10576,35,2802.349162,-0.091100325,-31.14403799,0.60021615,1.768019516
10577,1,1.424012,-0.671597605,-314.655167,0.0189169,1.446167853
10578,26,2373.121741,-0.013372354,206.0028407,0.684336814,1.851485284
10579,6,1007.275325,-0.08214905,320.9882017,0.102019852,1.967569436
10580,32,2636.194493,-0.359297961,24.82605957,0.437467135,1.790237491
10581,5,300.913466,-5.104922817,-311.3320684,0.034683746,1.592773461
10582,22,1696.295071,-2.968172589,-174.6574739,0.325880892,1.589848273
10583,1,1.944663,-0.710483421,-314.134516,0.021612167,2.149981543
10584,4,844.74351,0.250638367,306.5395644,0.064579516,1.83475407
10585,2,135.641392,-1.317710906,-254.4793759,0.021316574,1.816757583
10586,6,1007.275325,-0.08214905,320.9882017,0.102019852,1.967569436
10587,7,1047.072295,-0.802025971,286.7435829,0.111503895,2.007150667
10588,30,2498.770928,-0.540656272,35.48567227,0.386289372,1.802144353
10590,29,2284.883627,-1.48964114,-104.3600399,0.362385997,1.725205321
